# M=26, N=13, Vp=0.0, t=1.0, n=1, Vstart=-2.0, Vstop=0.0, Vnum=201, PBC
# start time 2022-10-16 02:17:39
#                       V#                 S1(n=1)#                 S2(n=1)                 S3(n=1)#                 S4(n=1)#                 S5(n=1)#                 S6(n=1)#                 S7(n=1)#                 S8(n=1)#                 S9(n=1)#                S10(n=1)#               S1/2(n=1)#               Sinf(n=1)
     -3.600000000000E-01      1.623285820641E-02      4.945056906629E-03      3.713392894808E-03      3.296811344620E-03      3.087002398803E-03      2.959920894257E-03      2.874205971111E-03      2.812131472605E-03      2.764834319826E-03      2.727390579922E-03      8.342010823957E-02      2.394886501218E-04
     -3.700000000000E-01      1.703589334886E-02      5.235594501123E-03      3.931853526910E-03      3.490508555988E-03      3.268129468592E-03      3.133358613856E-03      3.042395290852E-03      2.976467677463E-03      2.926189861888E-03      2.886347448496E-03      8.568705547733E-02      2.512195279287E-04
     -3.800000000000E-01      1.785530634852E-02      5.535138319647E-03      4.157119598045E-03      3.690209398996E-03      3.454841419877E-03      3.312116232265E-03      3.215716500514E-03      3.145791821284E-03      3.092416991882E-03      3.050078010538E-03      8.795143422447E-02      2.631270730586E-04
     -3.900000000000E-01      1.869097606158E-02      5.843750906247E-03      4.389241242569E-03      3.895955432947E-03      3.647174306231E-03      3.496225593819E-03      3.394197895487E-03      3.320129037331E-03      3.263537931011E-03      3.218601749270E-03      9.021325588086E-02      2.752035399367E-04
     -4.000000000000E-01      1.954278559456E-02      6.161495370061E-03      4.628269146081E-03      4.107788581429E-03      3.845164395937E-03      3.685718629721E-03      3.577867742370E-03      3.499504322372E-03      3.439574662101E-03      3.391937812306E-03      9.247253178198E-02      2.874412341871E-04
     -4.100000000000E-01      2.041062204967E-02      6.488435372630E-03      4.874254539019E-03      4.325751123965E-03      4.048848161020E-03      3.880627344695E-03      3.766754263463E-03      3.683942519206E-03      3.620548910376E-03      3.570104990865E-03      9.472927350198E-02      2.998325110704E-04
     -4.200000000000E-01      2.129437611620E-02      6.824635053795E-03      5.127249143588E-03      4.549885646122E-03      4.258262227248E-03      4.080983766078E-03      3.960885584680E-03      3.873468263339E-03      3.806482088910E-03      3.753121664092E-03      9.698349188770E-02      3.123696594374E-04
     -4.300000000000E-01      2.219394240675E-02      7.170159258583E-03      5.387305347519E-03      4.780235189883E-03      4.473443510546E-03      4.286820070617E-03      4.160289855026E-03      4.068106096544E-03      3.997395407242E-03      3.941005903428E-03      9.923519850347E-02      3.250450116727E-04
     -4.400000000000E-01      2.310921879287E-02      7.525073329922E-03      5.654476051142E-03      5.016843115736E-03      4.694429085095E-03      4.498168455555E-03      4.364995119305E-03      4.267880340496E-03      4.193309745582E-03      4.133775347232E-03      1.014844046446E-01      3.378509368295E-04
     -4.500000000000E-01      2.404010643347E-02      7.889443202846E-03      5.928814741498E-03      5.259753165000E-03      4.921256237639E-03      4.715061187035E-03      4.575029361826E-03      4.472815136581E-03      4.394245691311E-03      4.331447234434E-03      1.037311215470E-01      3.507796741022E-04
